compound_id	molecular_formula	compound_name
6943	C14H14O3	Kawain
12532	C14H14O3	Naproxen
8428	C14H14O3	NOPM
6212	C14H14O4	Columbianetin
6261	C14H14O4	Decursinol
6278	C14H14O4	Marmesin
6280	C14H14O4	Nodakenetin
34214	C14H14O4	Phthalofyne (USAN)
2135	C14H14O9	Sinapoyltartronate
38608	C14H15BrClNO6	(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE
11841	C14H15Cl2N	Chlornaphazine
8255	C14H15Cl2N3O2	Etaconazole
8190	C14H15Cl2N3O4	Imazalil nitrate
10684	C14H15ClN2	N-[(4-Chlorophenyl)methyl]-N-ethyl-2-pyridinamine
37902	C14H15ClN2O2	"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester"
34862	C14H15ClN4	Zometapine (USAN)
39761	C14H15F2N3S	Nepicastat (USAN)
2665	C14H15N3	4-(Dimethylamino)azobenzene
7903	C14H15N3	Cyprodinil
2921	C14H15N3O	4-(Dimethylamino)phenylazoxybenzene
9577	C14H15N3O	CX-516
33668	C14H15N3O2	Indolidan (USAN/INN)
20118	C14H15N3O2	indolmycin
31012	C14H15N3O3	Naphazoline nitrate (JP15)
5110	C14H15N3O5	Entacapone
30809	C14H15N3O5	Entacapone (JAN/USAN/INN)
42330	C14H15N3O5S2	Acetosulfone (USAN)
32939	C14H15N5O5S2	Cefetamet (USAN/INN)
7935	C14H15N5O6S	Metsulfuron methyl
37756	C14H15N7	Diminazene
36789	C14H15NO5S	"6-Oxo-8,9,10,11-Tetrahydro-7h-Cyclohepta[C][1]Benzopyran-3-O-Sulfamate"
9122	C14H15NO6	"(+)-2,7-Dideoxypancratistatin"
9121	C14H15NO7	7-Deoxypancratistatin
16931	C14H15NO7	Inodxyl glucuronide
5512	C14H15NO7	Isotan B
5552	C14H15NO8	Pancratistatin
39646	C14H15NOS	Bipenamol (USAN)
10188	C14H15O2PS2	Edifenphos
6633	C14H16	Chamazulene
37198	C14H16BNO4	[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid
38135	C14H16Br2N4O7	"2,4-Dinitro,5-[Bis(2-Bromoethyl)Amino]-N-(2',3'-Dioxopropyl)Benzamide"
38359	C14H16BrCl2NO2S	"2,2-Dichloro-1-Methanesulfinyl-3-Methyl-Cyclopropanecarboxylic Acid [1-(4-Bromo-Phenyl)-Ethyl]-Amide"
32355	C14H16BrNO2	Brofaromine (INN)
34082	C14H16Cl2N4O3	Obidoxime chloride (USAN)
33464	C14H16Cl2O2	Fenclorac (USAN/INN)
7937	C14H16ClN3O	Metazachlor
8138	C14H16ClN3O2	Triadimefon
19070	C14H16ClN3O2	triadimefone
9363	C14H16ClN3O4S2	Cyclothiazide
7950	C14H16ClN5O5S	Triasulfuron
32759	C14H16ClNO	Bexlosteride (USAN/INN)
8014	C14H16ClO5PS	Coumaphos
32446	C14H16F2N2	Flucindole (USAN/INN)
10195	C14H16N2	"3,3'-Dimethylbenzidine"
32677	C14H16N2	Atipamezole (USAN/INN)
39969	C14H16N2	Napactadine (USAN)
39970	C14H16N2	Napamezole (USAN)
8738	C14H16N2O2	Cyclo(L-Phe-L-Pro)
4827	C14H16N2O2	Etomidate
39878	C14H16N2O2	Imiloxan (USAN)
34414	C14H16N2O2	Rolicyprine (USAN/INN)
38398	C14H16N2O3	"(3s,8ar)-3-(4-Hydroxybenzyl)Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione"
7595	C14H16N2O3	Maculosin
38271	C14H16N2O3S	Monastrol
8918	C14H16N2O3S2	Pyochelin
37215	C14H16N2O4	Gluco-Phenylimidazole
34113	C14H16N2O4	Oxagrelate (USAN/INN)
38132	C14H16N2O4S2	Degraded Cephaloridine
36760	C14H16N2O5S2	Hydrolyzed Cephalothin
5566	C14H16N2O6	Indicaxanthin
36145	C14H16N2O6S3	Sulfoxone
5581	C14H16N2O7	Portulacaxanthin I
5586	C14H16N2O8	Vulgaxanthin-II
37589	C14H16N2OS	"3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One"
31905	C14H16N4	Budralazine (JAN/INN)
32300	C14H16N4	Imiquimod (JAN/USAN/INN)
34483	C14H16N4	Simtrazene (USAN/INN)
39820	C14H16N4O	Ethoxazene (USAN)
31384	C14H16N4O3	Piromidic acid (JAN/INN)
36316	C14H16N4O4	2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine
37739	C14H16NO3P	Alpha-Benzyl-Aminobenzyl-Phosphonic Acid
7824	C14H16O10	Theogallin
21296	C14H16O2	"10E,12E-tetradecadiene-4,6-diynoic acid"
18211	C14H16O2	"4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial"
34009	C14H16O2	Naproxol (USAN/INN)
6008	C14H16O3	Encecalin
4909	C14H16O3	Kavapyrone
6504	C14H16O3	Mexicanin E
9282	C14H16O4	3-Dimethylallyl-4-hydroxyphenylpyruvate
7478	C14H16O4	Prenyl caffeate
31075	C14H16O4S	Esonarimod (JAN/INN)
7421	C14H16O5	1'-Acetoxyeugenol acetate
11901	C14H16O9	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
6915	C14H16O9	Bergenin
31026	C14H16O9	Bergenin (JAN)
31389	C14H17ClN2O3S	Clorexolone (JAN/USAN/INN)
9579	C14H17IN2O2	4-(N-Maleimido)benzyltrimethylammonium iodide
36097	C14H17N3O	Frovatriptan
37453	C14H17N3O2	"1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester"
36655	C14H17N3O2	FR221647
35676	C14H17N3O2S	Fasudil (INN)
38527	C14H17N3O3S	HYDROXYFASUDIL
36550	C14H17N3O4	"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester"
36742	C14H17N3O5S3	Al7089a
5585	C14H17N3O7	Vulgaxanthin-I
32701	C14H17N3O9	Azaribine (USAN/INN)
34520	C14H17N5	Sotirimod (USAN)
39281	C14H17N5O3	Pipemidic acid (JP15)
7941	C14H17N5O7S2	Rimsulfuron
12326	C14H17N5O8	Succinyladenosine
5368	C14H17NO10	Triglochinin
7907	C14H17NO2	Indeloxazine
7693	C14H17NO2	Leiokinine A
36919	C14H17NO2S	Thiocoumarin
7446	C14H17NO3	Fagaramide
36325	C14H17NO4	(R)-Mesopram
35512	C14H17NO4	Chromocarb diethylamine
37505	C14H17NO5S	"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole"
1099	C14H17NO6	(R)-Prunasin
2909	C14H17NO6	(S)-Mandelonitrile beta-D-glucoside
5499	C14H17NO6	Indican
3289	C14H17NO7	Dhurrin
5356	C14H17NO7	p-Glucosyloxymandelonitrile
1675	C14H17NO7	Taxiphyllin
5370	C14H17NO7	Zierin
80018	C14H17NO8	Acetaminophen glucuronide
11445	C14H17NO9	DIBOA-glucoside
35732	C14H17NS2	Dimethylthiambutene
35259	C14H18As2N2O6	Difetarsone (INN)
8113	C14H18ClN3O2	Triadimenol
34678	C14H18ClNO4S	Tibric acid (USAN/INN)
35243	C14H18F3NO	Oxaflozane (INN)
39921	C14H18FNO2	Lubazodone (USAN)
33078	C14H18N2	Cyclindole (USAN)
7748	C14H18N2O	Camoensine
31341	C14H18N2O	Ibudilast (JAN/INN)
31336	C14H18N2O	Isopropylantipyrine (JP15)
6215	C14H18N2O2	Hypaphorine
39902	C14H18N2O3	Letimide (USAN)
17395	C14H18N2O3	L-phenylalanyl-L-proline
17397	C14H18N2O3	L-prolyl-L-phenylalanine
5057	C14H18N2O3	Methohexital
6234	C14H18N2O3	Physovenine
3627	C14H18N2O4	alpha-Ribazole
17394	C14H18N2O4	L-phenylalanyl-L-hydroxyproline
37415	C14H18N2O5	"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole"
8034	C14H18N2O5	Aspartame
12160	C14H18N2O5	Glutamylphenylalanine
33785	C14H18N2O5	Lidofenin (USAN/INN)
80019	C14H18N2O6	Gamma-Glutamyltyrosine
5565	C14H18N2O7	Humilixanthin
38249	C14H18N2O7	N-Benzoyl-N'-Beta-D-Glucopyranosyl Urea
5571	C14H18N2O7S	Miraxanthin-I
34108	C14H18N4O2	Ormetoprim (USAN/INN)
33922	C14H18N4O2S	Metioprim (USAN/INN)
37409	C14H18N4O3	"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium"
7886	C14H18N4O3	Benlate
1735	C14H18N4O3	Trimethoprim
38227	C14H18N4O9	3-(7-Hydroxy-8-Ribityllumazine-6-Yl) Propionic Acid
35441	C14H18N4O9	Caffeine citrate (USP)
37955	C14H18N4O9	Carboxyethyllumazine
20174	C14H18N5O11P	adenylo-succinate
2680	C14H18N5O11P	"N6-(1,2-Dicarboxyethyl)-AMP"
4920	C14H18N6O	Abacavir
9142	C14H18O	alpha-Amylcinnamaldehyde
20982	C14H18O2	"5,7,9,11,13-tetradecapentaenoic acid"
34541	C14H18O3	Stiripentol (USAN/INN)
32999	C14H18O4	Cinoxate (USAN/INN)
10220	C14H18O4	Diisopropyl phthalate
10221	C14H18O4	Di-n-propylphthalate
6018	C14H18O4	Methylripariochromene A
12572	C14H18O4	Ubiquinone
16961	C14H18O7	2-phenylethanol glucuronide
7710	C14H18O7	Picein
30409	C14H19Cl2NO2	Chlorambucil (USP/INN)
32632	C14H19ClN4	Amprolium (USP/INN)
39841	C14H19F3N2O2	Flubanilate (USAN)
20314	C14H19N2O7P	alpha-ribazole-5'-P
3171	C14H19N2O7P	"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
35288	C14H19N3O	Oxolamine (INN)
34833	C14H19N3O	Xilobam (USAN)
37712	C14H19N3O5	[4-(4-Hydroxy-Benzyl)-2-(2-Hydroxy-1-Methyl-Ethyl)-5-Oxo-Imidazolidin-1-Yl]-Acetic Acid
4114	C14H19N3O6S	Deacetoxycephalosporin C
2331	C14H19N3O7S	Deacetylcephalosporin C
8100	C14H19N3S	Methapyrilene
4004	C14H19N4O9P	5'-Butyrylphosphoinosine
39560	C14H19N5O2	Etazolate (USAN)
30449	C14H19N5O4	Famciclovir (JAN/USAN/INN)
31099	C14H19N5O4S3	Sulfatolamide (JAN/INN)
34612	C14H19N5O5	Tecadenoson (USAN/INN)
37636	C14H19N5O5S2	"2-{1-[2-(2-Amino-Thiazol-4-Yl)-2-Methoxyimino-Acetylamino]-2-Oxo-Ethyl}-5,5-Dimethyl-Thiazolidine-4-Carboxylic Acid"
2496	C14H19N5O6S	S-Inosyl-L-homocysteine
36499	C14H19N6O10P	Aspartyl-Adenosine-5'-Monophosphate
40568	C14H19NO10S2	Sinalbin
35586	C14H19NO2	Dexmethylphenidate (INN)
4574	C14H19NO2	Methylphenidate
10774	C14H19NO3	1-(4-Methoxyphenyl)-3-(4-morpholinyl)-1-propanone
7164	C14H19NO3	Ruspolinone
8246	C14H19NO4	Anisomycin
2941	C14H19NO4	N(alpha)-Benzyloxycarbonyl-L-leucine
7145	C14H19NO5	Harzianopyridone
42452	C14H19NO5	Sanfetrinem (USAN)
34594	C14H19NO5	Talsaclidine fumarate (USAN)
34767	C14H19NO5	Trimetozine (USAN/INN)
16935	C14H19NO6	Phenethylamine glucuronide
1235	C14H19NO6S	Desulfoglucotropeolin
16940	C14H19NO7	Tyramine glucuronide
16941	C14H19NO8	Dopamine glucuronide
40438	C14H19NO9S2	Glucotropeolin
37401	C14H19O5P	PAS219
35402	C14H20Br2N2	Bromhexine (INN)
38040	C14H20BrN5O2	Bromo-WR99210
38799	C14H20ClN3O2	Bimoclomol
38680	C14H20ClN3O3	Arimoclomol
32265	C14H20ClN3O3S	Clopamide (USAN/INN)
7914	C14H20ClNO2	Acetochlor
7917	C14H20ClNO2	Alachlor
35737	C14H20N2	Diethyltryptamine
7737	C14H20N2O	Albine
34348	C14H20N2O	Pyrrocaine (USP/INN)
35274	C14H20N2O	Tymazoline (BAN)
11584	C14H20N2O16P2	UDP-L-Ara4O
39249	C14H20N2O2	Bunitrolol (JAN)
33425	C14H20N2O2	Etryptamine acetate (USAN)
4758	C14H20N2O2	Pindolol
32692	C14H20N2O2S	Azabon (USAN)
35197	C14H20N2O3	Propacetamol (INN)
7487	C14H20N2O3	Subaphyllin
34823	C14H20N2O3	Vorinostat (USAN)
32234	C14H20N2O3S	Glycyclamide (INN)
37908	C14H20N2O3S2	N-[Tosyl-D-Prolinyl]Amino-Ethanethiol
8179	C14H20N2O6S	p-Methylaminophenol sulfate
5350	C14H20N2O9	Acalyphin
38736	C14H20N4O	BRX-235
35064	C14H20N4O	Imolamine (INN)
3023	C14H20N4O2	N-(4-Guanidinobutyl)-4-hydroxycinnamide
30874	C14H20N4O3	Hexamine mandelate (JAN)
34026	C14H20N4O7S2	Netobimin (USAN/INN)
36877	C14H20N4O8P2S	"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide"
1645	C14H20N6O2	Discadenine
577	C14H20N6O5S	S-Adenosyl-L-homocysteine
37626	C14H20N6O5Se	S-Adenosyl-L-Homoselenocysteine
3598	C14H20N6O5Se	Se-Adenosylselenohomocysteine
22340	C14H20O	"13-tetradecen-2,4-diyn-1-ol"
32783	C14H20O	Bornelone (USAN/INN)
6673	C14H20O2	Glutinosone
6520	C14H20O2	Oblongolide
10026	C14H20O3	4-Heptyloxybenzoic acid
10467	C14H20O3	Heptyl p-hydroxybenzoate
28993	C14H20O4	Ubiquinol
3785	C14H20O7	Salidroside
1130	C14H21ClN2O3S	Tos-Lys-CH2Cl
80020	C14H21F5O2	"11,11,11,12,12-Pentafluoro-9Z-dodecenyl acetate"
10867	C14H21N	N-(Cyclohexylmethyl)-N-methylbenzenamine
38574	C14H21N2O9P	N-Pyridoxyl-2-methyl-L-glutamic acid-5'-monophosphate
4662	C14H21N3O2S	Sumatriptan
4680	C14H21N3O3	Oxamniquine
35030	C14H21N3O3S	Metahexamide (INN)
30503	C14H21N3O3S	Tolazamide (JP15/USP/INN)
3505	C14H21N3O6S	Isopenicillin N
19321	C14H21N3O6S	N-[(5S)-5-amino-5-carboxypentanoyl]-L-cysteinyl-D-valine
4113	C14H21N3O6S	Penicillin N
2362	C14H21N3O9S	S-Succinylglutathione
37575	C14H21N7O8S	5'-O-(N-(L-Threonyl)-Sulfamoyl)Adenosine
7166	C14H21NO	(-)-Sedamine
6945	C14H21NO	Fabianine
40052	C14H21NO	Profadol (USAN)
3178	C14H21NO11	3-(4-Deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine
1384	C14H21NO11	"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine"
12179	C14H21NO11	Chondroitin
3215	C14H21NO14S	"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate"
3216	C14H21NO14S	"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate"
19607	C14H21NO14S	"4-deoxy-beta-D-gluc-4-enuronosyl-(1,4)-N-acetyl-D-galactosamine 4-sulfate"
32749	C14H21NO2	Berefrine (USAN/INN)
32926	C14H21NO2	Carmantadine (USAN/INN)
39244	C14H21NO2	Meprylcaine (JAN)
34140	C14H21NO2	Padimate A (USAN)
9921	C14H21NO2	Stovaine
7132	C14H21NO4	Codonopsine
8065	C14H21NO4	Diethofencarb
33140	C14H21NO7S	Sulbactam pivoxil (USAN)
2780	C14H21NO8	5'-O-beta-D-Glucosylpyridoxine
39816	C14H21NOS	Esproquin (USAN)
35017	C14H22BrN3O2	Bromopride (INN)
5068	C14H22ClN3O2	Metoclopramide
35527	C14H22ClNO	Clobutinol (INN)
35435	C14H22ClNO2	Bupranolol (INN)
7741	C14H22N2O	Angustifoline
30483	C14H22N2O	Lidocaine (JP15/USP/INN)
42344	C14H22N2O14P4	Risedronate (JAN)
36370	C14H22N2O16P2	Udp-Alpha-D-Xylopyranose
1549	C14H22N2O16P2	UDP-apiose
12364	C14H22N2O16P2	UDP-D-Xylose
1152	C14H22N2O16P2	UDP-L-arabinose
8664	C14H22N2O2	Rivastigmine
12533	C14H22N2O3	Atenolol
31594	C14H22N2O3	Bucolome (JAN/INN)
31423	C14H22N2O3	Esatenolol (JAN/INN)
8601	C14H22N2O3	Practolol
39304	C14H22N2O3	Trimetazidine (JP15)
34235	C14H22N2O3S	Piprozolin (USAN/INN)
33251	C14H22N2O4	Dimepranol acedoben (USAN)
36594	C14H22N2O9	Imidazole-Derived Cellobiose
37527	C14H22N3O8P	4-(2-Amino-Ethoxy)-2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-but-3-Enoic Acid
40067	C14H22N4	Quinelorane (USAN)
19174	C14H22N4O2	cuprizone
40183	C14H22N4O5	Valtorcitabine (USAN)
29330	C14H22N4O8P2S	2-(alpha-Hydroxyethyl)thiamine diphosphate
37579	C14H22N4O8P2S	"2-{(9as)-9a-[(1s)-1-Hydroxyethyl]-2,7-Dimethyl-9a,10-Dihydro-5h-Pyrimido[4,5-D][1,3]Thiazolo[3,2-a]Pyrimidin-8-Yl}Ethyl Trihydrogen Diphosphate"
9490	C14H22N4O9P2S	"alpha,beta-Dihydroxyethyl-TPP"
40375	C14H22N6O3S	S-Adenosylmethioninamine
32296	C14H22N6O5	Valganciclovir (INN)
8310	C14H22O	(+)-trans-alpha-Irone
9886	C14H22O	4-Octylphenol
9957	C14H22O	4-tert-Octylphenol
6690	C14H22O	alpha-Irone
38478	C14H22O2	"2,5-DI-(TERT-BUTYL)-1,4,BENZOHYDROQUINONE"
6713	C14H22O2	Rishitin
22023	C14H22O3	"(9R,13R)-1a,1b-dihomo-jasmonic acid"
22024	C14H22O3	"(9S,13S)-1a,1b-dihomo-jasmonic acid"
41548	C14H22O3	"6(R)-hydroxy-tetradeca-2E,4E,8Z-trienoate"
34526	C14H23Cl2N3O2	Spiromustine (USAN/INN)
37046	C14H23N2O7P	N-[O-Phosphono-Pyridoxyl]-Isoleucine
37300	C14H23N2O7P	Vitamin B6 Complexed with 2-Amino-Hexanoic Acid
34185	C14H23N3O10	Pentetic acid (USP/INN)
37369	C14H23N3O15P2	Cytidine-5'-Diphospho-Beta-D-Xylose
11582	C14H23N3O15P2	UDP-L-Ara4N
12901	C14H23N3O16P2	CDP-glucose
39944	C14H23N3O3S	Sematilide (USAN)
4209	C14H23N3O6	Valclavam
37002	C14H23N3O6S	D-(L-a-Aminoadipoyl)-L-Cysteinyl-D-Isodehydrovaline
8665	C14H23N3OS	Xanomeline
36682	C14H23N4O11P	"4-{2,6,8-Trioxo-9-[(2r,3s,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate"
19617	C14H23N5O	EHNA
37685	C14H23N5O5	"4-Acetyl-4-Guanidino-6-Methyl(Propyl)Carboxamide-4,5-Dihydro-2h-Pyran-2-Carboxylic Acid"
39879	C14H23N7S	Impromidine (USAN)
34600	C14H23NO	Tapentadol (USAN/INN)
12707	C14H23NO10	" 2-(acetylamino)-1,5-anhydro-2-deoxy-3-O-b-D-galactopyranosyl-D-arabino-Hex-1-enitol"
12709	C14H23NO10	"2-(acetylamino)-1,5-anhydro-2-deoxy-4-O-b-D-galactopyranosyl-D-arabino-Hex-1-enitol"
12257	C14H23NO11	N-Acetyl-9-O-lactoylneuraminic acid
18436	C14H23NO18S2	dermatan sulfate disaccharide
34250	C14H23NO2	Piroctone (USAN/INN)
80021	C14H23NO21S3	Heparan sulfate
37365	C14H23NO3	"3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline"
33069	C14H23NO3	Crilvastatin (USAN/INN)
40123	C14H23NO4S	Sulfonterol (USAN)
37509	C14H23NO6	"5-[1-(Acetylamino)-3-Methylbutyl]-2,5-Anhydro-3,4-Dideoxy-4-(Methoxycarbonyl)Pentonic Acid"
36372	C14H23NO8	2-Propenyl-N-Acetyl-Neuramic Acid
34445	C14H23NO8	Salicylate meglumine (USAN)
80022	C14H24F2O2	"11,11-Difluoro-9Z-dodecenyl acetate"
80023	C14H24F2O2	"7,7-Difluoro-8Z-dodecenyl acetate"
19512	C14H24N2O10	EGTA
31320	C14H24N2O3	Ciclopirox olamine (JAN/USP)
37017	C14H24N2O4	5-N-Acetyl-3-(1-Ethylpropyl)-1-Cyclohexene-1-Carboxylic Acid
37376	C14H24N2O5	"3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione"
30734	C14H24N2O5	Pirbuterol acetate (USAN)
1790	C14H24N2O7	Spectinomycin
2264	C14H24N2O9	N-Acetylmuramoyl-Ala
38093	C14H24N3O7P	N'-Pyridoxyl-Lysine-5'-Monophosphate
22475	C14H24O	"5,8-tetradecadienal"
1820	C14H24O12	Acetyl-maltose
21304	C14H24O2	10-tetradecynoic acid
20976	C14H24O2	"10Z,12E-tetradecadienoic acid"
21305	C14H24O2	11-tetradecynoic acid
21306	C14H24O2	12-tetradecynoic acid
21307	C14H24O2	13-tetradecynoic acid
20977	C14H24O2	"2E,4E-tetradecadienoic acid"
20978	C14H24O2	"3,4-tetradecadienoic acid"
21297	C14H24O2	3-tetradecynoic acid
20979	C14H24O2	"3Z,5E-tetradecadienoic acid"
20980	C14H24O2	"3Z,5Z-tetradecadienoic acid"
21298	C14H24O2	4-tetradecynoic acid
12142	C14H24O2	"5,8-Tetradecadienoic acid"
21299	C14H24O2	5-tetradecynoic acid
20981	C14H24O2	"5Z,8Z-tetradecadienoic acid"
21300	C14H24O2	6-tetradecynoic acid
21301	C14H24O2	7-tetradecynoic acid
21302	C14H24O2	8-tetradecynoic acid
21303	C14H24O2	9-tetradecynoic acid
20922	C14H24O2	Alepric acid
22030	C14H24O3	"(1R,2R)-3-oxo-2-pentyl-cyclopentanebutanoic acid"
22029	C14H24O3	"(1S,2S)-3-oxo-2-pentyl-cyclopentanebutanoic acid"
41549	C14H24O3	"6(R)-hydroxy-tetradeca-2E,8Z-dienoate"
41550	C14H24O3	"6(R)-hydroxy-tetradeca-4E,8Z-dienoate"
41545	C14H24O4	3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate
16959	C14H24O8	Octanoylglucuronide
12320	C14H24O8	Valproic acid glucuronide
41993	C14H25N	R-azabisabolene
41867	C14H25N	S-azabisabolene
40107	C14H25N	Somantadine (USAN)
8387	C14H25N3O14P2	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
1063	C14H25N3O15P2	CDP-ribitol
38298	C14H25N3O2S	"4-Carboxy-5-(1-Pentyl)Hexylsulfanyl-1,2,3-Triazole"
3504	C14H25N3O6S	delta(L-2-Aminoadipyl)-L-cysteinyl-D-valine
13378	C14H25NO10	2-Acetamido-2-deoxy-6-O-a-L-fucopyranosyl-D-glucose
13588	C14H25NO10	3-O-fucopyranosyl-2-acetamido-2-deoxyglucopyranose
12676	C14H25NO10	N-Acetyl-6-O-L-fucosyl-D-glucosamine
19663	C14H25NO11	1-D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-glucopyranoside
13519	C14H25NO11	"Beta-1,4-mannose-N-acetylglucosamine"
17515	C14H25NO11	beta-D-Gal-1-3-D-GlcNAc
4634	C14H25NO11	beta-D-Galactopyranosyl-(1->3)-N-acetyl-D-galactosamine
18929	C14H25NO11	"beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine"
3086	C14H25NO11	D-Galactosyl-3-N-acetyl-beta-D-galactosamine
3967	C14H25NO11	Lacto-N-biose
13534	C14H25NO11	Lacto-N-biose I
964	C14H25NO11	N-Acetyllactosamine
13542	C14H25NO11	Poly-N-acetyllactosamine
37905	C14H25NO2S	2-Decenoyl N-Acetyl Cysteamine
33718	C14H25NO6S	Isoetharine mesylate (USP)
19451	C14H25NO8	validoxylamine A
41311	C14H26N2O3S2	lipoyllysine
8295	C14H26N2O4	N-Acetyl-leucyl-leucine
36928	C14H26N2O8	Bmsc-0013
8388	C14H26N3O17P3	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
38230	C14H26N3O9P	"5-(6-D-Ribitylamino-2,4-Dihydroxypyrimidin-5-Yl)-1-Pentyl-Phosphonic Acid"
40483	C14H26N4O10P2	CMP-N-trimethyl-2-aminoethylphosphonate
38246	C14H26N4O11P2	[2-Cytidylate-O'-Phosphonyloxyl]-Ethyl-Trimethyl-Ammonium
777	C14H26N4O11P2	CDP-choline
30283	C14H26N4O11P2	Citicoline (JAN/INN)
42430	C14H26N4O8	Piperazine edetate (USAN/INN)
3176	C14H26NO14P	Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose
22472	C14H26O	2-tetradecenal
22356	C14H26O	"3-methyl-6-(1-methyl-ethyl)-3,9-decadien-1-ol"
22473	C14H26O	7-tetradecenal
22364	C14H26O	9R-(2-cyclopentenyl)-1-nonanol
22363	C14H26O	9S-(2-cyclopentenyl)-1-nonanol
22474	C14H26O	9-tetradecenal
12905	C14H26O11	Amylose
12993	C14H26O11	Galactan
13653	C14H26O11	Mannan
20654	C14H26O2	"2,4-dimethyl-2E-dodecenoic acid"
20972	C14H26O2	3E-tetradecenoic acid
20973	C14H26O2	4Z-tetradecenoic acid
20632	C14H26O2	5-methyl-2E-tridecenoic acid
12098	C14H26O2	5-Tetradecenoic acid
12111	C14H26O2	5Z-Tetradecenoic acid
20974	C14H26O2	7Z-tetradecenoic acid
20814	C14H26O2	8Z-tetradecenoic acid
20975	C14H26O2	9E-tetradecenoic acid
478	C14H26O2	tetradecenoate (n-C14:1)
17333	C14H26O2	trans-Tetra-dec-2-enoic acid
13212	C14H26O2	Tsuzuic acid
21748	C14H26O3	10-keto myristic acid
21580	C14H26O3	12-hydroxy-13-tetradecenoic acid
21790	C14H26O3	12-methyl-10-oxo-tridecanoic acid
21749	C14H26O3	13-keto myristic acid
21578	C14H26O3	14-hydroxy-12-tetradecenoic acid
21579	C14H26O3	14-hydroxy-12Z-tetradecenoic acid
21581	C14H26O3	14-hydroxy-5Z-tetradecenoic acid
21792	C14H26O3	2-oxo-tetradecanoic acid
17331	C14H26O3	3-Oxo-tetradecanoic acid
21747	C14H26O3	4-keto myristic acid
21793	C14H26O3	6-oxo-tetradecanoic acid
21949	C14H26O4	2-methyl-tridecanedioic acid
41542	C14H26O4	"3(S),6(R)-dihydroxy-tetradec-8Z-enoate"
21950	C14H26O4	3-methyl-tridecanedioic acid
21951	C14H26O4	4-methyl-tridecanedioic acid
10005	C14H26O4	Dibutyl adipate
10012	C14H26O4	Diisobutyl adipate
12304	C14H26O4	Tetradecanedioic acid
9127	C14H26O4Si	"2,3,4-Trioxycyclopentanone"
12035	C14H26O5	3-Hydroxytetradecanedioic acid
40041	C14H27N3O2	Pramiracetam (USAN)
27266	C14H27NO2	"(4E,6E,d14:2) sphingosine"
39610	C14H27NO6	Amiprilose (USAN)
80024	C14H28N2O3	N(6)-(Octanoyl)lysine
40527	C14H28N2O4	Succinylcholine
26010	C14H28NO8P	PC(3:0/3:0)
18196	C14H28O	tetradecanal
20539	C14H28O2	(+)-Isomyristic acid
20708	C14H28O2	11-methyl-tridecanoic acid
20776	C14H28O2	"2,4,6,8-tetramethyl-decanoic acid"
20683	C14H28O2	"2,4-dimethyl-dodecanoic acid"
